1,"[38,106]",38;106
4,"[0,177,188,166,178,15,148,6]",0;177;188;166;178;15;148;6
4,"[33,127,116,119,150,142]",33;127;116;119;150;142
4,"[146,49,192]",146;49;192
4,"[143,155,102,197]",143;155;102;197
4,"[154,110,107,50,196]",154;110;107;50;196
4,"[35,17,142]",35;17;142
4,"[187,56,25,27,159,149,19]",187;56;25;27;159;149;19
4,"[176,47,41,20]",176;47;41;20
4,"[132,23,35,15,18,185,32]",132;23;35;15;18;185;32
4,"[132,46,52]",132;46;52
4,"[23,145,46,29,191,170,183,142,10]",23;145;46;29;191;170;183;142;10
4,"[2,113,9]",2;113;9
4,"[155,188,166,57,47,4,20]",155;188;166;57;47;4;20
4,"[121,166,49,16,138,9,197]",121;166;49;16;138;9;197
4,"[198,147,159,170,185,43]",198;147;159;170;185;43
4,"[11,111,4,29,161]",11;111;4;29;161
4,"[2,59,48]",2;59;48
4,"[123,17,140]",123;17;140
5,"[1,157,4,105,128,18,118,150,32]",1;157;4;105;128;18;118;150;32
5,"[55,123,102,29,50,40]",55;123;102;29;50;40
5,"[111,56,58,25,42]",111;56;58;25;42
5,"[102,169,139]",102;169;139
5,"[23,189,124,116,40,52,53,152,141]",23;189;124;116;40;52;53;152;141
5,"[132,11,25,3,59,5,52]",132;11;25;3;59;5;52
5,"[14,4]",14;4
5,"[134,112,135,127,194,40]",134;112;135;127;194;40
5,"[122,8,180,108]",122;8;180;108
5,"[154,179,102,39,171,20,42,153]",154;179;102;39;171;20;42;153
5,"[154,145,117,119,41,163]",154;145;117;119;41;163
5,"[33,188,111,57,5,16,162,52,152]",33;188;111;57;5;16;162;52;152
5,"[36,38,16,192,10]",36;38;16;192;10
5,"[11,114,141]",11;114;141
5,"[22,15,4,16,183]",22;15;4;16;183
5,"[127,28]",127;28
5,"[22,16,41,163]",22;16;41;163
5,"[181,109]",181;109
5,"[199,177,16,17,149,182]",199;177;16;17;149;182
5,"[23,12,2,112]",23;12;2;112
5,"[33,124,53]",33;124;53
5,"[165,44,57,36,179,169,153]",165;44;57;36;179;169;153
5,"[11,188,46,59,147,171,140]",11;188;46;59;147;171;140
5,"[23,111,101,36,25,149,19,20]",23;111;101;36;25;149;19;20
5,"[55,11,188,35,36,15,38,28]",55;11;188;35;36;15;38;28
5,"[121,44,156,179,9,181,41,131]",121;44;156;179;9;181;41;131
6,"[55,41]",55;41
6,"[132,126,7]",132;126;7
6,"[33,14,157,109]",33;14;157;109
6,"[143,188,133,59,169,53,175]",143;188;133;59;169;53;175
6,"[154,22,144,167,118,183,41,131,43]",154;22;144;167;118;183;41;131;43
6,"[101,36,153]",101;36;153
6,"[11,3,125,148,9]",11;3;125;148;9
6,"[44,34,100,24,17,191,161,10]",44;34;100;24;17;191;161;10
6,"[168,59,147,104,18,193,52,141,163]",168;59;147;104;18;193;52;141;163
6,"[56,135,37,27,152]",56;135;37;27;152
6,"[143,125,105]",143;125;105
6,"[155,28,131]",155;28;131
6,"[22,187,14,37,6]",22;187;14;37;6
6,"[176,145,36,126,43]",176;145;36;126;43
6,"[123,26,192,151,21]",123;26;192;151;21
6,"[123,25,48]",123;25;48
6,"[179,17,28,8,182,31,185,174]",179;17;28;8;182;31;185;174
6,"[44,48,190,20,141,175,54]",44;48;190;20;141;175;54
6,"[55,133,35,104,9,30,20]",55;133;35;104;9;30;20
6,"[146,127]",146;127
6,"[199,24,35,2,135,128]",199;24;35;2;135;128
7,"[52,130,152,153]",52;130;152;153
7,"[45,2,146,137,31]",45;2;146;137;31
7,"[44,33,187,27,116,29,9,184,21]",44;33;187;27;116;29;9;184;21
7,"[47,16,9]",47;16;9
7,"[165,123,178,39,139,190,31]",165;123;178;39;139;190;31
7,"[25,16,192,152,10]",25;16;192;152;10
7,"[133,13,24,25,146,52,53,31]",133;13;24;25;146;52;53;31
7,"[44,4,104,7,191,50,150,141]",44;4;104;7;191;50;150;141
7,"[27,149,106,191,109,30,152,20]",27;149;106;191;109;30;152;20
7,"[147,117,31]",147;117;31
7,"[33,187,26,114,38,140,151]",33;187;26;114;38;140;151
7,"[26,104,129,190,9,184]",26;104;129;190;9;184
7,"[23,155,19,196,153]",23;155;19;196;153
7,"[55,156,138,142]",55;156;138;142
7,"[33,133,39,128,191,162]",33;133;39;128;191;162
7,"[33,0,111,155,113,15,42,53]",33;0;111;155;113;15;42;53
7,"[22,38,51,141,197]",22;38;51;141;197
7,"[121,117]",121;117
7,"[33,45,100,1,14,114,115,21]",33;45;100;1;14;114;115;21
7,"[34,42]",34;42
7,"[122,178,24,113,125,37,6,29]",122;178;24;113;125;37;6;29
7,"[22,167,179,9,140,52,196,130]",22;167;179;9;140;52;196;130
7,"[187,1,24,17,117,8,129]",187;1;24;17;117;8;129
7,"[165,136,48,17,29,190,119,9,131]",165;136;48;17;29;190;119;9;131
7,"[11,199,59,118,40,42]",11;199;59;118;40;42
7,"[104,6,181,31]",104;6;181;31
7,"[44,13,101,14,127,139]",44;13;101;14;127;139
7,"[176,189,25,3,172,42,152,130,10]",176;189;25;3;172;42;152;130;10
7,"[176,199,14,125,18,191,150,151]",176;199;14;125;18;191;150;151
7,"[198,194]",198;194
7,"[34,46,169,48,59,104,116,182]",34;46;169;48;59;104;116;182
7,"[122,147]",122;147
8,"[12,13,59,38,17,9]",12;13;59;38;17;9
8,"[45,101,46,26,28,107,182,171]",45;101;46;26;28;107;182;171
8,"[55,102,125]",55;102;125
8,"[143,187,147,27,194,173]",143;187;147;27;194;173
8,"[187,45,159,6,193,40]",187;45;159;6;193;40
8,"[187,12,146,58,18,29,30,42,164]",187;12;146;58;18;29;30;42;164
8,"[25,169,107]",25;169;107
8,"[45,58,14,5,18,191,182]",45;58;14;5;18;191;182
8,"[167,102,149,42]",167;102;149;42
8,"[58,5,159,162,52,195,120]",58;5;159;162;52;195;120
8,"[23,178,103,49,21]",23;178;103;49;21
8,"[36,59,18,29,193,184,186]",36;59;18;29;193;184;186
8,"[57,19,40]",57;19;40
8,"[33,56,135,169,172,30,31]",33;56;135;169;172;30;31
8,"[199,46,137,190,182,51]",199;46;137;190;182;51
8,"[110,177,100,158,41,20,42]",110;177;100;158;41;20;42
8,"[145,101,27,51,53,131]",145;101;27;51;53;131
8,"[103,5]",103;5
8,"[4,169,192,30,42]",4;169;192;30;42
8,"[33,176,188,102,26,169,137,131]",33;176;188;102;26;169;137;131
8,"[166,2,128,180,194,120]",166;2;128;180;194;120
8,"[11,4,125,107]",11;4;125;107
