1,"[24,53]",24;53
4,"[122,12,115]",122;12;115
4,"[134,24,16,38,106,95,173,174]",134;24;16;38;106;95;173;174
4,"[169,116,138]",169;116;138
4,"[24,102,149,161,141,75]",24;102;149;161;141;75
4,"[111,129]",111;129
4,"[77,134,79,149,91,93,73,53]",77;134;79;149;91;93;73;53
4,"[145,168]",145;168
4,"[110,61,84,120]",110;61;84;120
4,"[121,12,24,62,42,175]",121;12;24;62;42;175
4,"[58,49,117,61,140,153]",58;49;117;61;140;153
5,"[12,101]",12;101
5,"[78,145,157]",78;145;157
5,"[33,143,167,103,170,82,83,153]",33;143;167;103;170;82;83;153
5,"[33,89,124,27,138,129,108]",33;89;124;27;138;129;108
5,"[154,59,37,137,31]",154;59;37;137;31
5,"[114,159,84]",114;159;84
5,"[55,110,100,101,59,95,74]",55;110;100;101;59;95;74
5,"[3,70,81,108,72]",3;70;81;108;72
5,"[123,157,80,161,173,174,131]",123;157;80;161;173;174;131
5,"[44,34,45,89,8,64,174]",44;34;45;89;8;64;174
5,"[168,59,9,41,74,86]",168;59;9;41;74;86
5,"[77,30,86]",77;30;86
5,"[36,6]",36;6
5,"[66,144,100,156,160,20,54,175]",66;144;100;156;160;20;54;175
5,"[35,134,118]",35;134;118
5,"[66,155,56,101,7,118,92]",66;155;56;101;7;118;92
5,"[124,117,150]",124;117;150
5,"[166,167,57,168,142]",166;167;57;168;142
5,"[121,45,34,58,3,103,65]",121;45;34;58;3;103;65
5,"[156,128,72,140]",156;128;72;140
5,"[23,122,139,128,83,73]",23;122;139;128;83;73
5,"[88,55,111,156,6,91,30,42]",88;55;111;156;6;91;30;42
5,"[146,137,159,115,170,42,86]",146;137;159;115;170;42;86
5,"[78,103,128,107,151,153]",78;103;128;107;151;153
5,"[46,123,134,149,90,91,108,170,140]",46;123;134;149;90;91;108;170;140
5,"[6,138,129]",6;138;129
5,"[88,143,134,30,53]",88;143;134;30;53
5,"[23,158,5,149]",23;158;5;149
5,"[121,169,94,84,30,164,120]",121;169;94;84;30;164;120
5,"[48,137,83]",48;137;83
5,"[11,89,146,113,115,5,128,72,63]",11;89;146;113;115;5;128;72;63
5,"[55,125,127,94,140,32]",55;125;127;94;140;32
5,"[36,104,17,7,82]",36;104;17;7;82
5,"[121,155,105,60,82,40,85,164]",121;155;105;60;82;40;85;164
5,"[35,125,119,9,71,72,130,153]",35;125;119;9;71;72;130;153
5,"[45,101,17,81,109,64,142]",45;101;17;81;109;64;142
5,"[54,43]",54;43
5,"[89,168,25,58,61]",89;168;25;58;61
5,"[121,60,87]",121;60;87
6,"[138,128,107,81,95,86]",138;128;107;81;95;86
6,"[44,89,168,3,48,126,161]",44;89;168;3;48;126;161
6,"[165,100,167,16,54]",165;100;167;16;54
6,"[144,150]",144;150
6,"[3,107,71,76]",3;107;71;76
6,"[66,58,71,95]",66;58;71;95
6,"[77,79,24,134,161,40,163,65]",77;79;24;134;161;40;163;65
6,"[166,53]",166;53
6,"[132,5,7,108,31,10]",132;5;7;108;31;10
6,"[46,168,103,98]",46;168;103;98
6,"[88,9,72]",88;9;72
6,"[123,124,14,114,107]",123;124;14;114;107
6,"[119,76]",119;76
6,"[66,33,1,107,173,75]",66;33;1;107;173;75
6,"[22,155,168,49,39,18,81,85]",22;155;168;49;39;18;81;85
6,"[100,155,145,68,86,141,64]",100;155;145;68;86;141;64
6,"[1,35,36,27,70]",1;35;36;27;70
6,"[158,40,162,75,175]",158;40;162;75;175
6,"[123,68,25,124,137,139,118]",123;68;25;124;137;139;118
6,"[100,103,104,5,81,161,53]",100;103;104;5;81;161;53
6,"[169,118,92,74]",169;118;92;74
6,"[157,97]",157;97
6,"[176,110,34,92,84,42,76]",176;110;34;92;84;42;76
6,"[57,151]",57;151
7,"[133,114,90,92,173]",133;114;90;92;173
7,"[45,14,105,6,53,64]",45;14;105;6;53;64
7,"[22,156,26,115,6,60,53]",22;156;26;115;6;60;53
7,"[122,135]",122;135
7,"[107,50,87]",107;50;87
7,"[88,158,95,75,64]",88;158;95;75;64
7,"[132,103,107]",132;103;107
7,"[124,114,93,160,30,152]",124;114;93;160;30;152
7,"[126,29,80]",126;29;80
7,"[17,90,162]",17;90;162
7,"[67,46,15,104,80,85]",67;46;15;104;80;85
7,"[111,16,159,151,162,173]",111;16;159;151;162;173
7,"[3,174,153]",3;174;153
7,"[176,99,35,137,40,151,131]",176;99;35;137;40;151;131
7,"[101,168,148,162,85,175]",101;168;148;162;85;175
7,"[79,125,106]",79;125;106
7,"[123,135,124,169,161,85,152,120]",123;135;124;169;161;85;152;120
7,"[23,135,139,61,150]",23;135;139;61;150
7,"[108,93,61,172,62,87,43]",108;93;61;172;62;87;43
7,"[143,111,112,168,137,7]",143;111;112;168;137;7
7,"[165,56,103,28,95,131]",165;56;103;28;95;131
7,"[121,110,137]",121;110;137
7,"[110,123,24,136,127,149,6,62,161]",110;123;24;136;127;149;6;62;161
7,"[33,134,29,170,162,98]",33;134;29;170;162;98
7,"[169,53,87,142]",169;53;87;142
7,"[44,155,45,158,59,95,172,153]",44;155;45;158;59;95;172;153
7,"[69,159,71,75,164]",69;159;71;75;164
7,"[155,136,5,40,96]",155;136;5;40;96
7,"[144,46,101,21]",144;46;101;21
7,"[100,145,168,124,102,9,94,42,10]",100;145;168;124;102;9;94;42;10
7,"[134,105,107,153,142]",134;105;107;153;142
8,"[112,135,92,109,172,150,162,152,98]",112;135;92;109;172;150;162;152;98
8,"[77,35,90,86]",77;35;90;86
8,"[44,133,156,157,138,94,173]",44;133;156;157;138;94;173
8,"[121,167,36,3,17,117,62,76]",121;167;36;3;17;117;62;76
8,"[121,3,82,172]",121;3;82;172
8,"[22,165,69,15,128,40,85,97]",22;165;69;15;128;40;85;97
8,"[22,56,15,49,128,109,152]",22;56;15;49;128;109;152
8,"[176,33,136,5,128]",176;33;136;5;128
8,"[121,112,14,114,31]",121;112;14;114;31
8,"[156,102]",156;102
8,"[145,17,130]",145;17;130
8,"[121,66]",121;66
8,"[24,150,172,84,41,140,141,64]",24;150;172;84;41;140;141;64
8,"[176,122,38,138,83,161,84,20]",176;122;38;138;83;161;84;20
8,"[176,154,2,4,94,172]",176;154;2;4;94;172
8,"[1,146,129,118,83,53,75,141,31]",1;146;129;118;83;53;75;141;31
8,"[55,134,167,57,161,31,120,10]",55;134;167;57;161;31;120;10
8,"[143,119,76]",143;119;76
8,"[148,149,90,128,107,50,52,141,87]",148;149;90;128;107;50;52;141;87
8,"[88,14,108]",88;14;108
8,"[100,102,135,19,84]",100;102;135;19;84
8,"[24,148,117,108,94,172]",24;148;117;108;94;172
8,"[122,163]",122;163
8,"[56,157,168,147,139,8,160,41]",56;157;168;147;139;8;160;41
8,"[70,170,109,61]",70;170;109;61
8,"[167,127,6,70,61,140,96]",167;127;6;70;61;140;96
8,"[132,86]",132;86
8,"[67,140]",67;140
8,"[13,103,147,116,172,51]",13;103;147;116;172;51
8,"[121,155,112,3,61,83]",121;155;112;3;61;83
